,Records,Labels
10,answer most satisfactorili when was over mr woodhous grate observ it veri kind of you mr knightley come out at late hour call upon us i am afraid you must have had shock walk not at all sir it beauti moonlight night so mild i must draw back from your great fire but you must have found veri damp dirti i wish you may not catch cold dirti sir look at my shoe not speck on them well quit surpris for we have had vast deal of rain here it rain dread hard for half hour while we were at breakfast i want them put off wed by bye i have not wish you joy be pretti well awar of what sort of joy you must both be feel i have been in no hurri with my congratul but i hope all went off toler well how did you all,austen-emma
11,behav who cri most ah poor miss taylor tis sad busi poor mr miss woodhous if you pleas but i cannot possibl say poor miss taylor i have great regard for you emma but when come question of depend or independ at ani rate must be better have onli one pleas than two especi when one of those two such fanci troublesom creatur said emma play that what you have in your head i know what you would certain say if my father were not by i believ veri true my dear inde said mr woodhous with sigh i am afraid i am sometim veri fanci troublesom my dearest papa you do not think i could mean you or suppos mr knightley mean you what horribl idea oh no i meant onli myself mr knightley love find fault with me you know in joke all joke we alway say what,austen-emma
12,we like one anoth mr knightley in fact was one of few peopl who could see fault in emma woodhous onli one who ever told her of them though was not particular agreeabl emma herself she knew would be so much less so her father she would not have him realli suspect such circumst as her not be thought perfect by everi bodi emma know i never flatter her said mr knightley but i meant no reflect on ani bodi miss taylor has been use have two person pleas she will now have but one the chanc are she must be gainer well said emma will let pass you want hear about wed i shall be happi tell you for we all behav charm everi bodi was punctual everi bodi in their best look not tear hard long face be seen oh no we all felt we were go be,austen-emma
13,onli half mile apart were sure of meet everi day dear emma bear everi thing so well said her father but mr knightley she realli veri sorri lose poor miss taylor i am sure she will miss her more than she think for emma turn away her head divid between tear smile it imposs emma should not miss such companion said mr knightley we should not like her so well as we do sir if we could suppos but she know how much marriag miss taylor s advantag she know how veri accept must be at miss taylor s time of life be settl in home of her own how import her be secur of comfort provis therefor cannot allow herself feel so much pain as pleasur everi friend of miss taylor must be glad have her so happili marri and you have forgotten one matter of joy me said,austen-emma
14,emma veri consider one i made match myself i made match you know four year ago have take place be prove in right when so mani peopl said mr weston would never marri again may comfort me for ani thing mr knightley shook his head at her her father fond repli ah my dear i wish you would not make match foretel thing for whatev you say alway come pass pray do not make ani more match i promis you make none for myself papa but i must inde for other peopl it greatest amus in world and after such success you know everi bodi said mr weston would never marri again oh dear no mr weston who had been widow so long who seem so perfect comfort without wife so constant occupi either in his busi in town or among his friend here alway accept wherev he went alway,austen-emma
15,cheer mr weston need not spend singl even in year alon if he did not like oh no mr weston certain would never marri again some peopl even talk of promis his wife on her deathb other of son uncl not let him all manner of solemn nonsens was talk on subject but i believ none of ever sinc day about four year ago miss taylor i met with him in broadway lane when becaus began drizzl he dart away with so much gallantri borrow two umbrella for us from farmer mitchel s i made up my mind on subject i plan match from hour when such success has bless me in instanc dear papa you cannot think i shall leav off match make i do not understand what you mean by success said mr knightley success suppos endeavour your time has been proper delic spent if you have been,austen-emma
16,endeavour for last four year bring about marriag a worthi employ for young ladi s mind but if which i rather imagin your make match as you call mean onli your plan your say yourself one idl day i think would be veri good thing for miss taylor if mr weston were marri her say again yourself everi now then afterward whi do you talk of success where your merit what are you proud of you made lucki guess all can be said and have you never known pleasur triumph of lucki guess i piti you i thought you clever for depend upon lucki guess never mere luck there alway some talent in and as my poor word success which you quarrel with i do not know i am so entir without ani claim you have drawn two pretti pictur but i think there may be third someth between do,austen-emma
17,noth do all if i had not promot mr weston s visit here given mani littl encourag smooth mani littl matter might not have come ani thing after all i think you must know hartfield enough comprehend a straightforward open heart man like weston ration unaffect woman like miss taylor may be safe left manag their own concern you are more like have done harm yourself than good them by interfer emma never think of herself if she can do good other rejoin mr woodhous understand but in part but my dear pray do not make ani more match they are silli thing break up one s famili circl grievous onli one more papa onli for mr elton poor mr elton you like mr elton papa i must look about for wife for him there nobodi in highburi who deserv him he has been here whole year has fit up,austen-emma
18,his hous so comfort would be shame have him singl ani longer i thought when he was join their hand day he look so veri much as if he would like have same kind offic done for him i think veri well of mr elton onli way i have of do him servic mr elton veri pretti young man be sure veri good young man i have great regard for him but if you want shew him ani attent my dear ask him come dine with us some day that will be much better thing i dare say mr knightley will be so kind as meet him with great deal of pleasur sir at ani time said mr knightley laugh i agre with you entir will be much better thing invit him dinner emma help him best of fish chicken but leav him chuse his own wife depend upon man,austen-emma
19,of six or seven twenti can take care of himself chapter ii mr weston was nativ of highburi born of respect famili which for last two or three generat had been rise into gentil properti he had receiv good educ but on succeed earli in life small independ had becom indispos for ani of more home pursuit in which his brother were engag had satisfi activ cheer mind social temper by enter into militia of his counti then embodi captain weston was general favourit when chanc of his militari life had introduc him miss churchil of great yorkshir famili miss churchil fell in love with him nobodi was surpriz except her brother his wife who had never seen him who were full of pride import which connexion would offend miss churchil howev be of age with full command of her fortun though her fortun bore no proport famili estat was,austen-emma
20,not be dissuad from marriag took place infinit mortif of mr mrs churchil who threw her off with due decorum it was unsuit connexion did not produc much happi mrs weston ought have found more in for she had husband whose warm heart sweet temper made him think everi thing due her in return for great good of be in love with him but though she had one sort of spirit she had not best she had resolut enough pursu her own will in spite of her brother but not enough refrain from unreason regret at brother s unreason anger nor from miss luxuri of her former home they live beyond their incom but still was noth in comparison of enscomb she did not ceas love her husband but she want at onc be wife of captain weston miss churchil of enscomb captain weston who had been consid especi by,austen-emma
21,churchil as make such amaz match was prove have much worst of bargain for when his wife die after three year marriag he was rather poorer man than at first with child maintain from expens of child howev he was soon reliev the boy had with addit soften claim of linger ill of his mother s been mean of sort of reconcili mr mrs churchil have no children of their own nor ani other young creatur of equal kindr care for offer take whole charg of littl frank soon after her deceas some scrupl some reluct widow father may be suppos have felt but as they were overcom by other consider child was given up care wealth of churchil he had onli his own comfort seek his own situat improv as he could a complet chang of life becam desir he quit militia engag in trade have brother alreadi establish,austen-emma
22,in good way in london which afford him favour open it was concern which brought just employ enough he had still small hous in highburi where most of his leisur day were spent between use occup pleasur of societi next eighteen or twenti year of his life pass cheer away he had by time realis easi compet enough secur purchas of littl estat adjoin highburi which he had alway long for enough marri woman as portionless even as miss taylor live accord wish of his own friend social disposit it was now some time sinc miss taylor had begun influenc his scheme but as was not tyrann influenc of youth on youth had not shaken his determin of never settl till he could purchas randal sale of randal was long look forward but he had gone steadili on with these object in view till they were accomplish he had made,austen-emma
23,his fortun bought his hous obtain his wife was begin new period of exist with everi probabl of greater happi than in ani yet pass through he had never been unhappi man his own temper had secur him from even in his first marriag but his second must shew him how delight well judg truli amiabl woman could be must give him pleasantest proof of it be great deal better choos than be chosen excit gratitud than feel he had onli himself pleas in his choic his fortun was his own for as frank was more than be tacit brought up as his uncl s heir had becom so avow adopt as have him assum name of churchil on come of age it was most unlik therefor he should ever want his father s assist his father had no apprehens of the aunt was caprici woman govern her husband entir,austen-emma
24,but was not in mr weston s natur imagin ani capric could be strong enough affect one so dear as he believ so deserv dear he saw his son everi year in london was proud of him his fond report of him as veri fine young man had made highburi feel sort of pride in him too he was look on as suffici belong place make his merit prospect kind of common concern mr frank churchil was one of boast of highburi live curios see him prevail though compliment was so littl return he had never been there in his life his come visit his father had been often talk of but never achiev now upon his father s marriag was veri general propos as most proper attent visit should take place there was not dissenti voic on subject either when mrs perri drank tea with mrs miss bate or,austen-emma
25,when mrs miss bate return visit now was time for mr frank churchil come among them hope strengthen when was understood he had written his new mother on occas for few day everi morn visit in highburi includ some mention of handsom letter mrs weston had receiv i suppos you have heard of handsom letter mr frank churchil has written mrs weston i understand was veri handsom letter inde mr woodhous told me of mr woodhous saw letter he say he never saw such handsom letter in his life it was inde high prize letter mrs weston had of cours form veri favour idea of young man such pleas attent was irresist proof of his great good sens most welcom addit everi sourc everi express of congratul which her marriag had alreadi secur she felt herself most fortun woman she had live long enough know how fortun she might well,austen-emma
26,be thought where onli regret was for partial separ from friend whose friendship for her had never cool who could ill bear part with her she knew at time she must be miss could not think without pain of emma s lose singl pleasur or suffer hour s ennui from want of her companion but dear emma was of no feebl charact she was more equal her situat than most girl would have been had sens energi spirit might be hope would bear her well happili through it littl difficulti privat and then there was such comfort in veri easi distanc of randal from hartfield so conveni for even solitari femal walk in mr weston s disposit circumst which would make approach season no hindranc their spend half even in week togeth her situat was altogeth subject of hour of gratitud mrs weston of moment onli of regret her satisfact,austen-emma
27,her more than satisfact her cheer enjoy was so just so appar emma well as she knew her father was sometim taken by surpriz at his be still abl piti poor miss taylor when they left her at randal in centr of everi domest comfort or saw her go away in even attend by her pleasant husband carriag of her own but never did she go without mr woodhous s give gentl sigh say ah poor miss taylor she would be veri glad stay there was no recov miss taylor nor much likelihood of ceas piti her but few week brought some allevi mr woodhous the compliment of his neighbour were over he was no longer teas by be wish joy of so sorrow event wed cake which had been great distress him was all eat up his own stomach could bear noth rich he could never believ other peopl,austen-emma
28,be differ from himself what was unwholesom him he regard as unfit for ani bodi he had therefor earnest tri dissuad them from have ani wed cake at all when prove vain as earnest tri prevent ani bodi s eat he had been at pain of consult mr perri apothecari on subject mr perri was intellig gentlemanlik man whose frequent visit were one of comfort of mr woodhous s life upon be appli he could not but acknowledg though seem rather against bias of inclin wed cake might certain disagre with mani perhap with most peopl unless taken moder with such opinion in confirm of his own mr woodhous hope influenc everi visitor of newli marri pair but still cake was eaten there was no rest for his benevol nerv till was all gone there was strang rumour in highburi of all littl perri be seen with slice of mrs,austen-emma
29,weston s wed cake in their hand but mr woodhous would never believ chapter iii mr woodhous was fond of societi in his own way he like veri much have his friend come see him from various unit caus from his long resid at hartfield his good natur from his fortun his hous his daughter he could command visit of his own littl circl in great measur as he like he had not much intercours with ani famili beyond circl his horror of late hour larg dinner parti made him unfit for ani acquaint but such as would visit him on his own term fortun for him highburi includ randal in same parish donwel abbey in parish adjoin seat of mr knightley comprehend mani such not unfrequ through emma s persuas he had some of chosen best dine with him but even parti were what he prefer unless he fanci,austen-emma
30,himself at ani time unequ compani there was scarc even in week in which emma could not make up card tabl for him real long stand regard brought weston mr knightley by mr elton young man live alon without like privileg of exchang ani vacant even of his own blank solitud for eleg societi of mr woodhous s draw room smile of his love daughter was in no danger of be thrown away after these came second set among most come at abl of whom were mrs miss bate mrs goddard three ladi almost alway at servic of invit from hartfield who were fetch carri home so often mr woodhous thought no hardship for either jame or hors had taken place onli onc year would have been grievanc mrs bate widow of former vicar of highburi was veri old ladi almost past everi thing but tea quadrill she live with,austen-emma
31,her singl daughter in veri small way was consid with all regard respect which harmless old ladi under such untoward circumst can excit her daughter enjoy most uncommon degre of popular for woman neither young handsom rich nor marri miss bate stood in veri worst predica in world for have much of public favour she had no intellectu superior make aton herself or frighten those who might hate her into outward respect she had never boast either beauti or clever her youth had pass without distinct her middl of life was devot care of fail mother endeavour make small incom go as far as possibl and yet she was happi woman woman whom no one name without good will it was her own univers good will content temper which work such wonder she love everi bodi was interest in everi bodi s happi quicksight everi bodi s merit thought herself,austen-emma
32,most fortun creatur surround with bless in such excel mother so mani good neighbour friend home want for noth the simplic cheer of her natur her content grate spirit were recommend everi bodi mine of felic herself she was great talker upon littl matter which exact suit mr woodhous full of trivial communic harmless gossip mrs goddard was mistress of school not of seminari or establish or ani thing which profess in long sentenc of refin nonsens combin liber acquir with eleg moral upon new principl new system where young ladi for enorm pay might be screw out of health into vaniti but real honest old fashion board school where reason quantiti of accomplish were sold at reason price where girl might be sent be out of way scrambl themselv into littl educ without ani danger of come back prodigi mrs goddard s school was in high reput veri deserv,austen-emma
33,for highburi was reckon particular healthi spot she had ampl hous garden gave children plenti of wholesom food let them run about great deal in summer in winter dress their chilblain with her own hand it was no wonder train of twenti young coupl now walk after her church she was plain mother kind of woman who had work hard in her youth now thought herself entitl occasion holiday of tea visit have former owe much mr woodhous s kind felt his particular claim on her leav her neat parlour hung round with fanci work whenev she could win or lose few sixpenc by his firesid these were ladi whom emma found herself veri frequent abl collect happi was she for her father s sake in power though as far as she was herself concern was no remedi for absenc of mrs weston she was delight see her father look,austen-emma
34,comfort veri much pleas with herself for contriv thing so well but quiet prose of three such women made her feel everi even so spent was inde one of long even she had fear anticip as she sat one morn look forward exact such close of present day note was brought from mrs goddard request in most respect term be allow bring miss smith with her most welcom request for miss smith was girl of seventeen whom emma knew veri well by sight had long felt interest in on account of her beauti a veri gracious invit was return even no longer dread by fair mistress of mansion harriet smith was natur daughter of somebodi somebodi had place her sever year back at mrs goddard s school somebodi had late rais her from condit of scholar of parlour boarder this was all was general known of her histori she had,austen-emma
35,no visibl friend but what had been acquir at highburi was now just return from long visit in countri some young ladi who had been at school there with her she was veri pretti girl her beauti happen be of sort which emma particular admir she was short plump fair with fine bloom blue eye light hair regular featur look of great sweet befor end of even emma was as much pleas with her manner as her person quit determin continu acquaint she was not struck by ani thing remark clever in miss smith s convers but she found her altogeth veri engag not inconveni shi not unwil talk yet so far from push shew so proper becom defer seem so pleasant grate for be admit hartfield so artless impress by appear of everi thing in so superior style what she had been use she must have good sens deserv,austen-emma
36,encourag encourag should be given those soft blue eye all those natur grace should not be wast on inferior societi of highburi it connexion the acquaint she had alreadi form were unworthi of her the friend from whom she had just part though veri good sort of peopl must be do her harm they were famili of name of martin whom emma well knew by charact as rent larg farm of mr knightley resid in parish of donwel veri credit she believ she knew mr knightley thought high of them but they must be coars unpolish veri unfit be intim of girl who want onli littl more knowledg eleg be quit perfect she would notic her she would improv her she would detach her from her bad acquaint introduc her into good societi she would form her opinion her manner it would be interest certain veri kind undertak high becom,austen-emma
37,her own situat in life her leisur power she was so busi in admir those soft blue eye in talk listen form all these scheme in in between even flew away at veri unusu rate supper tabl which alway close such parti for which she had been use sit watch due time was all set out readi move forward fire befor she was awar with alacr beyond common impuls of spirit which yet was never indiffer credit of do everi thing well attent with real good will of mind delight with it own idea did she then do all honour of meal help recommend minc chicken scallop oyster with urgenc which she knew would be accept earli hour civil scrupl of their guest upon such occas poor mr woodhous feel were in sad warfar he love have cloth laid becaus had been fashion of his youth but his convict of,austen-emma
38,supper be veri unwholesom made him rather sorri see ani thing put on while his hospit would have welcom his visitor everi thing his care for their health made him griev they would eat such anoth small basin of thin gruel as his own was all he could with thorough self approb recommend though he might constrain himself while ladi were comfort clear nicer thing say mrs bate let me propos your ventur on one of these egg an egg boil veri soft not unwholesom serl understand boil egg better than ani bodi i would not recommend egg boil by ani bodi els but you need not be afraid they are veri small you see one of our small egg will not hurt you miss bate let emma help you littl bit of tart veri littl bit our are all appl tart you need not be afraid of unwholesom preserv,austen-emma
39,here i do not advis custard mrs goddard what say you half glass of wine a small half glass put into tumbler of water i do not think could disagre with you emma allow her father talk but suppli her visitor in much more satisfactori style on present even had particular pleasur in send them away happi the happi of miss smith was quit equal her intent miss woodhous was so great personag in highburi prospect of introduct had given as much panic as pleasur but humbl grate littl girl went off with high gratifi feel delight with affabl with which miss woodhous had treat her all even actual shaken hand with her at last chapter iv harriet smith s intimaci at hartfield was soon settl thing quick decid in her way emma lost no time in invit encourag tell her come veri often as their acquaint increas so did,austen-emma
40,their satisfact in each other as walk companion emma had veri earli foreseen how use she might find her in respect mrs weston s loss had been import her father never went beyond shrubberi where two divis of ground suffic him for his long walk or his short as year vari sinc mrs weston s marriag her exercis had been too much confin she had ventur onc alon randal but was not pleasant harriet smith therefor one whom she could summon at ani time walk would be valuabl addit her privileg but in everi respect as she saw more of her she approv her was confirm in all her kind design harriet certain was not clever but she had sweet docil grate disposit was total free from conceit onli desir be guid by ani one she look up her earli attach herself was veri amiabl her inclin for good compani,austen-emma
41,power of appreci what was eleg clever shew there was no want of tast though strength of understand must not be expect altogeth she was quit convinc of harriet smith s be exact young friend she want exact someth which her home requir such friend as mrs weston was out of question two such could never be grant two such she did not want it was quit differ sort of thing sentiment distinct independ mrs weston was object of regard which had it basi in gratitud esteem harriet would be love as one whom she could be use for mrs weston there was noth be done for harriet everi thing her first attempt at use were in endeavour find out who were parent but harriet could not tell she was readi tell everi thing in her power but on subject question were vain emma was oblig fanci what she like,austen-emma
42,but she could never believ in same situat she should not have discov truth harriet had no penetr she had been satisfi hear believ just what mrs goddard chose tell her look no farther mrs goddard teacher girl affair of school in general form natur great part of convers but for her acquaint with martin of abbey mill farm must have been whole but martin occupi her thought good deal she had spent two veri happi month with them now love talk of pleasur of her visit describ mani comfort wonder of place emma encourag her talkat amus by such pictur of anoth set of be enjoy youth simplic which could speak with so much exult of mrs martin s have two parlour two veri good parlour inde one of them quit as larg as mrs goddard s draw room of her have upper maid who had live five twenti,austen-emma
43,year with her of their have eight cow two of them alderney one littl welch cow veri pretti littl welch cow inde of mrs martin s say as she was so fond of should be call her cow of their have veri handsom summer hous in their garden where some day next year they were all drink tea veri handsom summer hous larg enough hold dozen peopl for some time she was amus without think beyond immedi caus but as she came understand famili better other feel aros she had taken up wrong idea fanci was mother daughter son son s wife who all live togeth but when appear mr martin who bore part in narrat was alway mention with approb for his great good natur in do someth or other was singl man there was no young mrs martin no wife in case she did suspect danger her poor,austen-emma
44,littl friend from all hospit kind if she were not taken care of she might be requir sink herself forev with inspirit notion her question increas in number mean she particular led harriet talk more of mr martin there was evid no dislik harriet was veri readi speak of share he had had in their moonlight walk merri even game dwelt good deal upon his be so veri good humour oblig he had gone three mile round one day in order bring her some walnut becaus she had said how fond she was of them in everi thing els he was so veri oblig he had his shepherd s son into parlour one night on purpos sing her she was veri fond of sing he could sing littl himself she believ he was veri clever understood everi thing he had veri fine flock while she was with them he had,austen-emma
45,been bid more for his wool than ani bodi in countri she believ everi bodi spoke well of him his mother sister were veri fond of him mrs martin had told her one day there was blush as she said was imposs for ani bodi be better son therefor she was sure whenev he marri he would make good husband not she want him marri she was in no hurri at all well done mrs martin thought emma you know what you are about and when she had come away mrs martin was so veri kind as send mrs goddard beauti goos finest goos mrs goddard had ever seen mrs goddard had dress on sunday ask all three teacher miss nash miss princ miss richardson sup with her mr martin i suppos not man of inform beyond line of his own busi he doe not read oh yes no i,austen-emma
46,do not know but i believ he has read good deal but not what you would think ani thing of he read agricultur report some other book lay in one of window seat but he read all them himself but sometim of even befor we went card he would read someth aloud out of eleg extract veri entertain and i know he has read vicar of wakefield he never read romanc of forest nor the children of abbey he had never heard of such book befor i mention them but he determin get them now as soon as ever he can the next question was what sort of look man mr martin oh not handsom not at all handsom i thought him veri plain at first but i do not think him so plain now one doe not you know after time but did you never see him he in,austen-emma
47,highburi everi now then he sure ride through everi week in his way kingston he has pass you veri often that may be i may have seen him fifti time but without have ani idea of his name a young farmer whether on horseback or on foot veri last sort of person rais my curios the yeomanri are precis order of peopl with whom i feel i can have noth do a degre or two lower credit appear might interest me i might hope be use their famili in some way or other but farmer can need none of my help therefor in one sens as much abov my notic as in everi other he below to be sure oh yes it not like you should ever have observ him but he know you veri well inde i mean by sight i have no doubt of his be veri respect,austen-emma
48,young man i know inde he so as such wish him well what do you imagin his age be he was four twenti th of last june my birthday rd just fortnight day s differ which veri odd onli four twenti that too young settl his mother perfect right not be in hurri they seem veri comfort as they are if she were take ani pain marri him she would probabl repent six year henc if he could meet with good sort of young woman in same rank as his own with littl money might be veri desir six year henc dear miss woodhous he would be thirti year old well as earli as most men can afford marri who are not born independ mr martin i imagin has his fortun entir make cannot be at all beforehand with world whatev money he might come into when his father die,austen-emma
49,whatev his share of famili properti i dare say all afloat all employ in his stock so forth though with dilig good luck he may be rich in time next imposs he should have realis ani thing yet to be sure so but they live veri comfort they have no indoor man els they do not want for ani thing mrs martin talk of take boy anoth year i wish you may not get into scrape harriet whenev he doe marri i mean as be acquaint with his wife for though his sister from superior educ are not be altogeth object doe not follow he might marri ani bodi at all fit for you notic the misfortun of your birth ought make you particular care as your associ there can be no doubt of your be gentleman s daughter you must support your claim station by everi thing within your,austen-emma
50,own power or there will be plenti of peopl who would take pleasur in degrad you yes be sure i suppos there are but while i visit at hartfield you are so kind me miss woodhous i am not afraid of what ani bodi can do you understand forc of influenc pretti well harriet but i would have you so firm establish in good societi as be independ even of hartfield miss woodhous i want see you perman well connect end will be advis have as few odd acquaint as may be therefor i say if you should still be in countri when mr martin marri i wish you may not be drawn in by your intimaci with sister be acquaint with wife who will probabl be some mere farmer s daughter without educ to be sure yes not i think mr martin would ever marri ani bodi but what,austen-emma
51,had had some educ been veri well brought up howev i do not mean set up my opinion against your s i am sure i shall not wish for acquaint of his wife i shall alway have great regard for miss martin especi elizabeth should be veri sorri give them up for they are quit as well educ as me but if he marri veri ignor vulgar woman certain i had better not visit her if i can help emma watch her through fluctuat of speech saw no alarm symptom of love the young man had been first admir but she trust there was no other hold there would be no serious difficulti on harriet s side oppos ani friend arrang of her own they met mr martin veri next day as they were walk on donwel road he was on foot after look veri respect at her look with,austen-emma
52,most unfeign satisfact at her companion emma was not sorri have such opportun of survey walk few yard forward while they talk togeth soon made her quick eye suffici acquaint with mr robert martin his appear was veri neat he look like sensibl young man but his person had no other advantag when he came be contrast with gentlemen she thought he must lose all ground he had gain in harriet s inclin harriet was not insens of manner she had voluntarili notic her father s gentl with admir as well as wonder mr martin look as if he did not know what manner was they remain but few minut togeth as miss woodhous must not be kept wait harriet then came run her with smile face in flutter of spirit which miss woodhous hope veri soon compos onli think of our happen meet him how veri odd it was,austen-emma
53,quit chanc he said he had not gone round by randal he did not think we ever walk road he thought we walk toward randal most day he has not been abl get romanc of forest yet he was so busi last time he was at kingston he quit forgot but he goe again morrow so veri odd we should happen meet well miss woodhous he like what you expect what do you think of him do you think him so veri plain he veri plain undoubt remark plain but noth compar with his entir want of gentil i had no right expect much i did not expect much but i had no idea he could be so veri clownish so total without air i had imagin him i confess degre or two nearer gentil to be sure said harriet in mortifi voic he not so genteel as real gentlemen,austen-emma
54,i think harriet sinc your acquaint with us you have been repeat in compani of some such veri real gentlemen you must yourself be struck with differ in mr martin at hartfield you have had veri good specimen of well educ well bred men i should be surpriz if after see them you could be in compani with mr martin again without perceiv him be veri inferior creatur rather wonder at yourself for have ever thought him at all agreeabl befor do not you begin feel now were not you struck i am sure you must have been struck by his awkward look abrupt manner uncouth of voic which i heard be wholli unmodul as i stood here certain he not like mr knightley he has not such fine air way of walk as mr knightley i see differ plain enough but mr knightley so veri fine man mr knightley,austen-emma
55,s air so remark good not fair compar mr martin with him you might not see one in hundr with gentleman so plain written as in mr knightley but he not onli gentleman you have been late use what say you mr weston mr elton compar mr martin with either of them compar their manner of carri themselv of walk of speak of be silent you must see differ oh yes there great differ but mr weston almost old man mr weston must be between forti fifti which make his good manner more valuabl the older person grow harriet more import their manner should not be bad more glare disgust ani loud or coars or awkward becom what passabl in youth detest in later age mr martin now awkward abrupt what will he be at mr weston s time of life there no say inde repli harriet rather solemn but,austen-emma
